trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
9c894b43-bdef-4309-b994-e9b17733b62b,O0133AAA0A,D_REG,Terminal Gentileza,133,0,a20e6a6d-a5d4-4ea1-8ab1-1da972ef6011
c9287444-3641-4eb5-b59b-eba98d7e2255,O0133AAA0A,D_REG,Terminal Gentileza,133,0,a20e6a6d-a5d4-4ea1-8ab1-1da972ef6011
100f565d-96ff-4208-9e93-dc5958307649,O0918AAA0A,S_REG,Jardim Violeta,918,1,10f900a8-7a30-43b5-a2a3-bde69060e1be
cf9b9f0a-8aea-4d05-a6f7-5544fb07ace7,O0624AAV0A,D_REG,Mariópolis,SV624,1,bmph
977d23f9-826f-46e0-916e-1649ebac0498,O0871AAA0A,D_REG,Cesarão,871,0,snbu
f063635c-00b2-4793-b7d1-7730095a12a9,O0774AAV0A,D_REG,Madureira,SV774,1,kdrb
185f4fd7-9fe9-48fc-9899-65fe6febcea7,O0774AAV0A,U_REG,Madureira,SV774,1,kdrb
38f2f973-f8aa-489d-99a7-3aef9d7a492c,O0669AAA0A,S_REG,Méier,669,0,2bjt
94cc71d8-951b-40dc-96cb-2627bf16bf6a,O0774AAV0A,U_REG,Madureira,SV774,1,kdrb
0e765abc-ad9f-4aba-9b83-dabbaa396396,O0774AAV0A,U_REG,Jardim América,SV774,0,o0sw
75a0200d-a2e1-49fb-8d91-81509ba89bee,O0669AAA0A,S_REG,Méier,669,0,2bjt
ad25590a-e282-4612-ad9f-d8523c3a57b1,O0133AAA0A,U_REG,Largo do Machado,133,1,5a65e29a-25a0-49e4-a861-1601b80d5a7b
f985f52b-7ce1-45bb-b2d4-6b6e13fa587a,O0687AAA0A,S_REG,Pavuna,687,1,dyi4
10a533be-a8e6-4d2f-a969-a7cf226343cd,O0383AAA0A,U_REG,Praça da República,383,0,82cc8479-53d1-4b34-8ffb-f1bd5478bc28
0480b58e-8ac0-46e6-b9a8-06a56a2245bd,O0606AAV0A,U_REG,Engenho de Dentro,SV606,1,41i6
61ee3eda-cbee-44b8-8d34-3d094772ff7b,O0606AAV0A,U_REG,Engenho de Dentro,SV606,1,41i6
374ee600-f59c-4040-b0a9-8ee766e28183,O0133AAA0A,D_REG,Terminal Gentileza,133,0,a20e6a6d-a5d4-4ea1-8ab1-1da972ef6011
0881a02a-c549-49fc-b1a8-1cdd8dad31bf,O0950AAA0A,U_REG,Circular,950,0,sz6e
86e0fc61-fabe-49f9-8a00-39b8bd6c838b,O0652AAA0A,U_REG,Circular,652,0,s14y
d1e1b29c-a64b-4c56-8afa-654da131b149,O0691AAA0A,U_REG,Méier,691,1,tbv0
39fe214e-a44c-4352-a7b6-448c683be62b,O0624AAV0A,D_REG,Mariópolis,SV624,1,bmph
