route_short_name,route_id,agency_id,route_long_name,route_desc,route_type,route_color,route_text_color
006,O0006AAA0A,22002,Silvestre - Castelo,"",700,B1B1B1,000000
007,O0007AAA0A,22002,Silvestre - Central do Brasil,"",700,B1B1B1,000000
010,O0010AAA0A,22002,Bairro de Fátima - Central do Brasil,LECD91,700,B1B1B1,000000
10,20000101130,20001,Santa Cruz - Terminal Alvorada,Expresso,702,4A86E8,ffffff
100,O0100AAA0A,22002,General Osório - Central,Troncal 1,700,B1B1B1,000000
104,O0104AAA0A,22002,São Conrado - Terminal Gentileza,Troncal 4,700,B1B1B1,000000
107,O0107AAA0A,22002,Central - Urca,"",700,B1B1B1,000000
11,20000111110,20001,Santa Cruz - Terminal Alvorada,Parador,702,4A86E8,ffffff
117,O0117AAA0A,22002,Central - Cosme Velho,Troncal 7,700,B1B1B1,000000
12,20000121130,20001,Terminal Pingo d'Água - Terminal Alvorada,Expresso,702,4A86E8,ffffff
13,20000131130,20001,Terminal Mato Alto - Terminal Alvorada,Expresso,702,4A86E8,ffffff
133,O0133AAA0A,22002,Largo do Machado - Terminal Gentileza,"",700,B1B1B1,000000
14,20000141130,20001,Santa Eugênia - Terminal Recreio,Expresso,702,0B5394,ffffff
15,20000151130,20001,Terminal Curral Falso - Terminal Alvorada,Expresso,702,4a86e8,ffffff
16,20000161130,20001,Magarça - Terminal Alvorada,Expresso,702,4A86E8,ffffff
161,O0161AAA0A,22002,Terminal Gentileza - Ipanema,LECD80,700,B1B1B1,000000
165,O0165AAA0A,22002,Terminal Gentileza - Cosme Velho,LECD79,700,B1B1B1,000000
167,O0167AAA0A,22002,Terminal Gentileza - Urca,LECD78,700,B1B1B1,000000
169,O0169AAA0A,22002,Terminal Gentileza - General Osório,LECD110,700,B1B1B1,000000
17,20000171110,20001,Campo Grande - Santa Cruz,Parador,702,0B5394,ffffff
18,20000181130,20001,Pontal - Terminal Jardim Oceânico,Expresso,702,4A86E8,ffffff
19,20000191130,20001,Terminal Pingo d'Água - Salvador Allende,Expresso,702,4A86E8,ffffff
20,20000201130,20001,Santa Cruz - Salvador Allende,Expresso,702,4A86E8,ffffff
201,O0201AAA0A,22002,Santa Alexandrina - Castelo,"",700,B1B1B1,000000
202,O0202AAA0A,22002,Rio Comprido - Castelo,"",700,B1B1B1,000000
2024,E2024AAA0A,22002,Leblon - Aeroporto Internacional do RJ,LECD71,200,030478,FFFFFF
209,O0209AAA0A,22002,Candelária - Caju,"",700,B1B1B1,000000
210,O0210AAA0A,22002,Caju - Candelária,"",700,B1B1B1,000000
2110,E2110AAA0A,22004,Gardênia Azul - Castelo,"",200,030478,FFFFFF
2111,E2111AAA0A,22004,Praça Seca - Castelo,"",200,030478,FFFFFF
2112,E2112AAA0A,22004,Taquara - Castelo,"",200,030478,FFFFFF
2114,E2114AAA0A,22004,Freguesia - Castelo,"",200,030478,FFFFFF
217,O0217AAA0A,22002,Andaraí - Carioca,"",700,B1B1B1,000000
22,20000221110,20001,Terminal Alvorada - Terminal Jardim Oceânico,Parador,702,4A86E8,ffffff
220,O0220AAA0A,22002,Usina - Candelária,"",700,B1B1B1,000000
222,O0222AAA0A,22002,Vila Isabel - Gamboa,LECD102,700,B1B1B1,000000
229,O0229AAA0A,22002,Usina - Castelo,"",700,B1B1B1,000000
2303,E2303AAA0A,22005,Cesarão - Carioca,"",200,030478,FFFFFF
2305,E2305AAA0A,22003,Jardim América - Castelo,"",200,030478,FFFFFF
2307,E2307AAA0A,22005,Jardim 7 de Abril - Carioca,"",200,030478,FFFFFF
2308,E2308AAA0A,22005,Cosmos - Carioca,"",200,030478,FFFFFF
2309,E2309AAA0A,22005,Urucânia - Carioca,"",200,030478,FFFFFF
2310,E2310AAA0A,22005,Bangu - Candelária,"",200,030478,FFFFFF
232,O0232AAA0A,22003,Lins de Vasconcelos - Castelo,"",700,1DA527,FFFFFF
2334,E2334AAA0A,22005,Campo Grande - Castelo,"",200,030478,FFFFFF
2335,E2335AAA0A,22005,Santa Cruz - Castelo,"",200,030478,FFFFFF
2336,E2336AAA0A,22005,Campo Grande - Castelo,"",200,030478,FFFFFF
2337,E2337AAA0A,22005,Santa Cruz - Castelo,"",200,030478,FFFFFF
2338,E2338AAA0A,22005,Terminal Campo Grande - Castelo,"",200,030478,FFFFFF
2339,E2339AAA0A,22005,Campo Grande - Castelo,"",200,030478,FFFFFF
2342,E2342AAA0A,22003,Bananal - Castelo,"",200,030478,FFFFFF
2343,E2343AAA0A,22003,Ribeira - Castelo,"",200,030478,FFFFFF
2344,E2344AAA0A,22003,Bancários - Castelo,"",200,030478,FFFFFF
2345,E2345AAA0A,22004,Vila Valqueire - Castelo,"",200,030478,FFFFFF
238,O0238AAA0A,22003,Água Santa - Castelo,"",700,1DA527,FFFFFF
2381,E2381AAA0A,22005,Pedra de Guaratiba - Castelo,"",200,030478,FFFFFF
2383,E2383AAA0A,22005,Sepetiba - Carioca,"",200,030478,FFFFFF
239,O0239AAA0A,22003,Água Santa - Passeio,"",700,1DA527,FFFFFF
247,O0247AAA0A,22003,Camarista Méier - Passeio,"",700,1DA527,FFFFFF
249,O0249AAA0A,22003,Água Santa - Carioca,"",700,1DA527,FFFFFF
25,20000251130,20001,Terminal Mato Alto - Terminal Alvorada,Parador,702,4A86E8,ffffff
254,O0254AAA0A,22003,Madureira - Candelária,"",700,1DA527,FFFFFF
265,O0265AAA0A,22003,Marechal Hermes - Castelo,"",700,1DA527,FFFFFF
275,O0275AAA0A,22002,Méier - Candelária,"",700,1DA527,FFFFFF
277,O0277AAA0A,22003,Rocha Miranda - Candelária,"",700,1DA527,FFFFFF
28,20000281130,20001,Terminal Pingo d'Água - Terminal Curral Falso,Parador,702,ffbb00,000000
2802,E2802AAA0A,22005,Santa Cruz - Barra da Tijuca,"",200,030478,FFFFFF
2803,E2803AAA0A,22005,Vila Kennedy - Terminal Alvorada,"",200,030478,FFFFFF
2804,E2804AAA0A,22005,Bangu - Barra da Tijuca,"",200,030478,FFFFFF
2918,E2918AAA0A,22004,Aeroporto Internacional do RJ - Terminal Alvorada,"",200,030478,FFFFFF
292,O0292AAA0A,22003,Engenho da Rainha - Castelo,"",700,1B47B9,FFFFFF
296,O0296AAA0A,22003,Irajá - Castelo,"",700,1B47B9,FFFFFF
298,O0298AAA0A,22003,Acari - Castelo,"",700,1B47B9,FFFFFF
300,O0300AAA0A,22005,Terminal Sulacap - Candelária,"",700,A0662E,FFFFFF
301,O0301AAA0A,22004,Terminal Gentileza - Terminal Alvorada,"",700,6EC3E6,000000
302,O0302AAA0A,22004,Terminal Gentileza - Terminal Alvorada,"",700,6EC3E6,000000
306,O0306AAA0A,22004,Praça Seca - Castelo,"",700,F14F95,000000
31,20000311140,20001,Vicente de Carvalho - Terminal Alvorada,Semidireto,702,FF9900,000000
311,O0311AAA0A,22003,Engenheiro Leal - Candelária,"",700,1DA527,FFFFFF
312,O0312AAA0A,22003,Olaria - Candelária,"",700,1B47B9,FFFFFF
313,O0313AAA0A,22003,Penha (Grotão) - Praça Tiradentes,"",700,1B47B9,FFFFFF
315,O0315AAA0A,22004,Central - Recreio dos Bandeirantes,"",700,6EC3E6,000000
321,O0321AAA0A,22003,Bancários - Castelo,"",700,EA0A2A,FFFFFF
323,O0323AAA0A,22003,Bananal - Castelo,"",700,EA0A2A,FFFFFF
324,O0324AAA0A,22003,Ribeira - Candelária,"",700,EA0A2A,FFFFFF
325,O0325AAA0A,22003,Ribeira - Castelo,"",700,EA0A2A,FFFFFF
326,O0326AAA0A,22003,Bancários - Candelária,"",700,EA0A2A,FFFFFF
327,O0327AAA0A,22003,Ribeira - Castelo,"",700,EA0A2A,FFFFFF
328,O0328AAA0A,22003,Bananal - Candelária,"",700,EA0A2A,FFFFFF
329,O0329AAA0A,22003,Bancários - Candelária,"",700,EA0A2A,FFFFFF
335,O0335AAA0A,22003,Cordovil - Tiradentes,"",700,1B47B9,FFFFFF
338,O0338AAA0A,22004,Taquara - Candelária,"",700,F14F95,000000
341,O0341AAA0A,22004,Taquara - Candelária,"",700,F14F95,000000
342,O0342AAA0A,22003,Jardim América - Castelo,"",700,1B47B9,FFFFFF
343,O0343AAA0A,22004,Jardim Oceânico - Candelária,"",700,6EC3E6,000000
348,O0348AAA0A,22004,Riocentro - Candelária,"",700,F14F95,000000
349,O0349AAA0A,22003,Rocha Miranda - Castelo,"",700,1DA527,FFFFFF
35,20000351110,20001,Terminal Madureira - Terminal Alvorada,Parador,702,FF9900,000000
350,O0350AAA0A,22003,Irajá - Castelo,"",700,1B47B9,FFFFFF
352,O0352AAA0A,22004,Riocentro - Candelária,via Autódromo,700,F14F95,000000
353,O0353AAA0A,22004,Gardênia Azul - Terminal Gentileza,LECD74,700,F14F95,000000
355,O0355AAA0A,22003,Madureira - Praça Tiradentes,"",700,1DA527,FFFFFF
361,O0361AAA0A,22004,Recreio dos Bandeirantes - Castelo,"",700,6EC3E6,000000
362,O0362AAA0A,22003,Honório Gurgel - Castelo,"",700,1DA527,FFFFFF
363,O0363AAA0A,22004,Vila Valqueire - Candelária,"",700,1DA527,FFFFFF
368,O0368AAA0A,22004,Riocentro - Candelária,"",700,F14F95,000000
369,O0369AAA0A,22005,Bangu - Candelária,"",700,A0662E,FFFFFF
371,O0371AAA0A,22004,Praça Seca - Praça Tiradentes,"",700,F14F95,000000
378,O0378AAA0A,22003,Marechal Hermes - Castelo,"",700,1DA527,FFFFFF
380,O0380AAA0A,22004,Curicica - Candelária,"",700,F14F95,000000
383,O0383AAA0A,22005,Realengo - Praça da República,"",700,A0662E,FFFFFF
384,O0384AAA0A,22003,Pavuna - Passeio,"",700,1B47B9,FFFFFF
385,O0385AAA0A,22003,Village Pavuna - Passeio,"",700,1B47B9,FFFFFF
386,O0386AAA0A,22003,Anchieta - Candelária,"",700,1DA527,FFFFFF
388,O0388AAA0A,22005,Santa Cruz - Candelária,"",700,8330A5,FFFFFF
390,O0390AAA0A,22004,Curicica - Candelária,"",700,F14F95,000000
393,O0393AAA0A,22005,Bangu - Candelária,"",700,A0662E,FFFFFF
397,O0397AAA0A,22005,Terminal Campo Grande - Candelária,"",700,FF7600,000000
399,O0399AAA0A,22003,Pavuna - Passeio,"",700,1B47B9,FFFFFF
40,20000401130,20001,Terminal Madureira - Terminal Alvorada,Expresso,702,FF9900,000000
409,O0409AAA0A,22002,Saens Peña - Horto,"",700,B1B1B1,000000
41,20000411130,20001,Terminal Madureira - Terminal Recreio,Expresso,702,FF9900,000000
410,O0410AAA0A,22002,Saens Peña - Gávea,"",700,B1B1B1,000000
415,O0415AAA0A,22002,Usina - Leblon,"",700,B1B1B1,000000
416,O0416AAA0A,22002,Saens Peña - Horto,"",700,B1B1B1,000000
42,20000421110,20001,Galeão - Madureira,Parador,702,FF9900,000000
422,O0422AAA0A,22002,Grajaú - Cosme Velho,"",700,B1B1B1,000000
426,O0426AAA0A,22002,Usina - Jardim de Alah,"",700,B1B1B1,000000
43,20000431130,20001,Terminal Fundão - Santa Efigênia,Expresso,702,FF9900,000000
433,O0433AAA0A,22002,Vila Isabel - Siqueira Campos,"",700,B1B1B1,000000
435,O0435AAA0A,22002,Grajaú - Gávea,"",700,B1B1B1,000000
439,O0439AAA0A,22002,Vila Isabel - Leblon,"",700,B1B1B1,000000
448,O0448AAA0A,22002,Furnas - São Conrado,"",700,B1B1B1,000000
455,O0455AAA0A,22003,Méier - Copacabana,"",700,1DA527,FFFFFF
457,O0457AAA0A,22003,Abolição - Copacabana,"",700,1DA527,FFFFFF
46,20000461130,20001,Penha - Terminal Alvorada,Expresso,702,FF9900,000000
461,O0461AAA0A,22002,São Cristóvão - Ipanema,"",700,B1B1B1,000000
463,O0463AAA0A,22002,São Cristóvão - Copacabana,"",700,B1B1B1,000000
472,O0472AAA0A,22002,Triagem - Leme,"",700,B1B1B1,000000
473,O0473AAA0A,22002,São Januário - Lido,"",700,B1B1B1,000000
474,O0474AAA0A,22002,Jacaré - Copacabana,"",700,1DA527,FFFFFF
476,O0476AAA0A,22002,Méier - Leblon,"",700,1DA527,FFFFFF
483,O0483AAA0A,22003,Penha - General Osório,"",700,1B47B9,FFFFFF
484,O0484AAA0A,22003,Olaria - General Osório,"",700,1B47B9,FFFFFF
485,O0485AAA0A,22003,Fundão - General Osório,"",700,EA0A2A,FFFFFF
492,O0492AAA0A,22003,Bancários - Prado Júnior,"",700,EA0A2A,FFFFFF
497,O0497AAA0A,22003,Penha - Largo do Machado,"",700,1B47B9,FFFFFF
498,O0498AAA0A,22003,Circular da Penha - Largo do Machado,"",700,1B47B9,FFFFFF
50,20000501110,20001,Terminal Jardim Oceânico - Terminal Centro Olímpico,Parador,702,6AA84F,000000
507,O0507AAA0A,22002,Silvestre - Largo do Machado,"",700,B1B1B1,000000
51,20000511110,20001,Terminal Deodoro - Terminal Recreio,Parador,702,6AA84F,000000
513,O0513AAA0A,22002,Urca - Botafogo,"",700,B1B1B1,000000
518,O0518AAA0A,22002,Urca - Botafogo,LECD55,700,B1B1B1,000000
519,O0519AAA0A,22002,Urca - Copacabana,LECD54,700,B1B1B1,000000
52,20000521110,20001,Terminal Deodoro - Terminal Alvorada,Parador,702,6aa84f,000000
53,20000531130,20001,Terminal Sulacap - Terminal Alvorada,Expresso,702,6AA84F,000000
539,O0539AAA0A,22002,Rocinha - Leme,"",700,B1B1B1,000000
550,O0550AAA0A,22004,Cidade de Deus - Gávea,"",700,F14F95,000000
552,O0552AAA0A,22004,Terminal Alvorada - Rio Sul,Integrada 2,700,6EC3E6,000000
553,O0553AAA0A,22004,Recreio dos Bandeirantes - Rio Sul,Integrada 8,700,6EC3E6,000000
554,O0554AAA0A,22004,Piabas - Rio Sul,Integrada 9,700,6EC3E6,000000
555,O0555AAA0A,22004,Rio das Pedras - Gávea,"",700,F14F95,000000
557,O0557AAA0A,22004,Rio das Pedras - Copacabana,"",700,F14F95,000000
558,O0558AAA0A,22004,Cidade de Deus - Copacabana,Integrada 6,700,F14F95,000000
